title	plot
Celestial body	"An astronomical object or celestial object is a naturally occurring physical entity, association, or structure that current science has demonstrated to exist in the observable universe. The term astronomical object is sometimes used interchangeably with astronomical body. Typically, an astronomical (celestial) body refers to a single, cohesive structure that is bound together by gravity (and sometimes by electromagnetism). Examples include the asteroids, moons, planets and the stars. Astronomical objects are gravitationally bound structures that are associated with a position in space, but may consist of multiple independent astronomical bodies or objects. These objects range from single planets to star clusters, nebulae or entire galaxies. A comet may be described as a body, in reference to the frozen nucleus of ice and dust, or as an object, when describing the nucleus with its diffuse coma and tail.
The universe can be viewed as having a hierarchical structure. At the largest scales, the fundamental component of assembly is the galaxy, which are assembled out of dwarf galaxies. The galaxies are organized into groups and clusters, often within larger superclusters, that are strung along great filaments between nearly empty voids, forming a web that spans the observable universe. Galaxies and dwarf galaxies have a variety of morphologies, with the shapes determined by their formation and evolutionary histories, including interaction with other galaxies. Depending on the category, a galaxy may have one or more distinct features, such as spiral arms, a halo and a nucleus. At the core, most galaxies have a supermassive black hole, which may result in an active galactic nucleus. Galaxies can also have satellites in the form of dwarf galaxies and globular clusters.
The constituents of a galaxy are formed out of gaseous matter that assembles through gravitational self-attraction in a hierarchical manner. At this level, the resulting fundamental components are the stars, which are typically assembled in clusters from the various condensing nebulae. The great variety of stellar forms are determined almost entirely by the mass, composition and evolutionary state of these stars. Stars may be found in multi-star systems that orbit about each other in a hierarchical organization. A planetary system and various minor objects such as asteroids, comets and debris, can form in a hierarchical process of accretion from the protoplanetary disks that surrounds newly formed stars.
The various distinctive types of stars are shown by the Hertzsprung–Russell diagram (H–R diagram)—a plot of absolute stellar luminosity versus surface temperature. Each star follows an evolutionary track across this diagram. If this track takes the star through a region containing an intrinsic variable type, then its physical properties can cause it to become a variable star. An example of this is the instability strip, a region of the H-R diagram that includes Delta Scuti, RR Lyrae and Cepheid variables. Depending on the initial mass of the star and the presence or absence of a companion, a star may spend the last part of its life as a compact object; either a white dwarf, neutron star, or black hole."
Charles Darwin	"Charles Robert Darwin, FRS FRGS FLS FZS (/ˈdɑːrwɪn/; 12 February 1809 – 19 April 1882) was an English naturalist and geologist, best known for his contributions to evolutionary theory. He established that all species of life have descended over time from common ancestors, and in a joint publication with Alfred Russel Wallace introduced his scientific theory that this branching pattern of evolution resulted from a process that he called natural selection, in which the struggle for existence has a similar effect to the artificial selection involved in selective breeding.
Darwin published his theory of evolution with compelling evidence in his 1859 book On the Origin of Species, overcoming scientific rejection of earlier concepts of transmutation of species. By the 1870s, the scientific community and much of the general public had accepted evolution as a fact. However, many favoured competing explanations and it was not until the emergence of the modern evolutionary synthesis from the 1930s to the 1950s that a broad consensus developed in which natural selection was the basic mechanism of evolution. In modified form, Darwin's scientific discovery is the unifying theory of the life sciences, explaining the diversity of life.
Darwin's early interest in nature led him to neglect his medical education at the University of Edinburgh; instead, he helped to investigate marine invertebrates. Studies at the University of Cambridge (Christ's College) encouraged his passion for natural science. His five-year voyage on HMS Beagle established him as an eminent geologist whose observations and theories supported Charles Lyell's uniformitarian ideas, and publication of his journal of the voyage made him famous as a popular author.
Puzzled by the geographical distribution of wildlife and fossils he collected on the voyage, Darwin began detailed investigations and in 1838 conceived his theory of natural selection. Although he discussed his ideas with several naturalists, he needed time for extensive research and his geological work had priority. He was writing up his theory in 1858 when Alfred Russel Wallace sent him an essay that described the same idea, prompting immediate joint publication of both of their theories. Darwin's work established evolutionary descent with modification as the dominant scientific explanation of diversification in nature. In 1871 he examined human evolution and sexual selection in The Descent of Man, and Selection in Relation to Sex, followed by The Expression of the Emotions in Man and Animals. His research on plants was published in a series of books, and in his final book, The Formation of Vegetable Mould, through the Actions of Worms published 1881, he examined earthworms and their effect on soil.
Darwin has been described as one of the most influential figures in human history; he was honoured by burial in Westminster Abbey."
Civilization	"A civilization (US) or civilisation (UK) is any complex society characterized by urban development, social stratification, symbolic communication forms (typically, writing systems), and a perceived separation from and domination over the natural environment by a cultural elite. Civilizations are intimately associated with and often further defined by other socio-politico-economic characteristics, including centralization, the domestication of both humans and other organisms, specialization of labor, culturally ingrained ideologies of progress and supremacism, monumental architecture, taxation, societal dependence upon farming as an agricultural practice, and expansionism.
Historically, a civilization was a so-called ""advanced"" culture in contrast to more supposedly primitive cultures. In this broad sense, a civilization contrasts with non-centralized tribal societies, including the cultures of nomadic pastoralists or hunter-gatherers. As an uncountable noun, civilization also refers to the process of a society developing into a centralized, urbanized, stratified structure.
Civilizations are organized in densely populated settlements divided into hierarchical social classes with a ruling elite and subordinate urban and rural populations, which engage in intensive agriculture, mining, small-scale manufacture and trade. Civilization concentrates power, extending human control over the rest of nature, including over other human beings.
The earliest emergence of civilizations is generally associated with the final stages of the Neolithic Revolution, culminating in the relatively rapid process of state formation, a political development associated with the appearance of a governing elite. This neolithic technology and lifestyle was established first in the Middle East (for example at Göbekli Tepe, from about 9,130 BCE), and later in the Yangtze and Yellow river basins in China (for example the Pengtoushan culture from 7,500 BCE), and later spread. But similar ""revolutions"" also began independently from 7,000 BCE in such places as the Norte Chico civilization in Peru and Mesoamerica at the Balsas River. These were among the six civilizations worldwide that arose independently. Mesopotamia is the site of the earliest developments of the Neolithic Revolution from around 10,000 BC. It has been identified as having ""inspired some of the most important developments in human history including the invention of the wheel, the planting of the first cereal crops and the development of cursive script, Mathematics, Astronomy and Agriculture.""
The Neolithic Revolution in turn was dependent upon the development of sedentarism, the domestication of grains and animals and the development lifestyles which allowed economies of scale and the accumulation of surplus production by certain social sectors. The transition from ""complex cultures"" to ""civilisations"", while still disputed, seems to be associated with the development of state structures, in which power was further monopolised by an elite ruling class.
Towards the end of the Neolithic period, various Chalcolithic civilizations began to rise in various ""cradles"" from around 3300 BCE. Chalcolithic Civilizations, as defined above, also developed in Pre-Columbian Americas and, despite an early start in Egypt, Axum and Kush, much later in Iron Age sub-Saharan Africa. The Bronze Age collapse was followed by the Iron Age around 1200 BCE, during which a number of new civilizations emerged, culminating in the Axial Age transition to Classical civilization. A major technological and cultural transition to modernity began approximately 1500 CE in western Europe, and from this beginning new approaches to science and law spread rapidly around the world."
Classical antiquity	"Classical antiquity (also the classical era, classical period or classical age) is a broad term for a long period of cultural history centered on the Mediterranean Sea, comprising the interlocking civilizations of ancient Greece and ancient Rome, collectively known as the Greco-Roman world. It is the period in which Greek and Roman society flourished and wielded great influence throughout Europe, North Africa and Southwestern Asia.
Conventionally, it is taken to begin with the earliest-recorded Epic Greek poetry of Homer (8th–7th century BC), and continues through the emergence of Christianity and the decline of the Roman Empire (5th century AD). It ends with the dissolution of classical culture at the close of Late Antiquity (300–600), blending into the Early Middle Ages (600–1000). Such a wide sampling of history and territory covers many disparate cultures and periods. ""Classical antiquity"" may refer also to an idealised vision among later people of what was, in Edgar Allan Poe's words, ""the glory that was Greece, and the grandeur that was Rome.""
The culture of the ancient Greeks, together with some influences from the ancient Near East, was the basis of art, philosophy, society, and educational ideals, until the Roman imperial period. The Romans preserved, imitated and spread over Europe these ideals until they were able to competitively rival the Greek culture, as the Latin language became widespread and the classical world became bilingual, Greek and Latin. This Greco-Roman cultural foundation has been immensely influential on the language, politics, educational systems, philosophy, science, art, and architecture of the modern world: From the surviving fragments of classical antiquity, a revival movement was gradually formed from the 14th century onwards which came to be known later in Europe as the Renaissance, and again resurgent during various neo-classical revivals in the 18th and 19th centuries."
Classical mechanics	"In physics, classical mechanics and quantum mechanics are the two major sub-fields of mechanics. Classical mechanics is concerned with the set of physical laws describing the motion of bodies under the influence of a system of forces. The study of the motion of bodies is an ancient one, making classical mechanics one of the oldest and largest subjects in science, engineering and technology. It is also widely known as Newtonian mechanics.
Classical mechanics describes the motion of macroscopic objects, from projectiles to parts of machinery, as well as astronomical objects, such as spacecraft, planets, stars, and galaxies. Within classical mechanics are fields of study that describe the behavior of solids, liquids and gases and other specific sub-topics. Classical mechanics also provides extremely accurate results as long as the domain of study is restricted to large objects and the speeds involved do not approach the speed of light. When the objects being examined are sufficiently small, it becomes necessary to introduce the other major sub-field of mechanics, quantum mechanics, which adjusts the laws of physics of macroscopic objects for the atomic nature of matter by including the wave–particle duality of atoms and molecules. When both quantum mechanics and classical mechanics cannot apply, such as at the quantum level with high speeds, quantum field theory (QFT) becomes applicable.
The term classical mechanics was coined in the early 20th century to describe the system of physics begun by Isaac Newton and many contemporary 17th century natural philosophers, and is built upon the earlier astronomical theories of Johannes Kepler, which in turn were based on the precise observations of Tycho Brahe and the studies of terrestrial projectile motion of Galileo. Since these aspects of physics were developed long before the emergence of quantum physics and relativity, some sources exclude Einstein's theory of relativity from this category. However, a number of modern sources do include relativistic mechanics, which in their view represents classical mechanics in its most developed and most accurate form.
The earliest development of classical mechanics is often referred to as Newtonian mechanics, and is associated with the physical concepts employed by and the mathematical methods invented by Newton, Leibniz, and others. Later, more abstract and general methods were developed, leading to reformulations of classical mechanics known as Lagrangian mechanics and Hamiltonian mechanics. These advances were largely made in the 18th and 19th centuries, and they extend substantially beyond Newton's work, particularly through their use of analytical mechanics."
Climate	"Climate is the statistics (usually, mean or variability) of weather, usually over a 30-year interval. It is measured by assessing the patterns of variation in temperature, humidity, atmospheric pressure, wind, precipitation, atmospheric particle count and other meteorological variables in a given region over long periods of time. Climate differs from weather, in that weather only describes the short-term conditions of these variables in a given region.
A region's climate is generated by the climate system, which has five components: atmosphere, hydrosphere, cryosphere, lithosphere, and biosphere.
The climate of a location is affected by its latitude, terrain, and altitude, as well as nearby water bodies and their currents. Climates can be classified according to the average and the typical ranges of different variables, most commonly temperature and precipitation. The most commonly used classification scheme was Köppen climate classification originally developed by Wladimir Köppen. The Thornthwaite system, in use since 1948, incorporates evapotranspiration along with temperature and precipitation information and is used in studying biological diversity and the potential effects on it of climate changes. The Bergeron and Spatial Synoptic Classification systems focus on the origin of air masses that define the climate of a region.
Paleoclimatology is the study of ancient climates. Since direct observations of climate are not available before the 19th century, paleoclimates are inferred from proxy variables that include non-biotic evidence such as sediments found in lake beds and ice cores, and biotic evidence such as tree rings and coral. Climate models are mathematical models of past, present and future climates. Climate change may occur over long and short timescales from a variety of factors; recent warming is discussed in global warming."
Common sense	"Common sense is a basic ability to perceive, understand, and judge things, which is shared by (""common to"") nearly all people and can reasonably be expected of nearly all people without any need for debate.
The everyday understanding of common sense is derived from philosophical discussion involving several European languages. Related terms in other languages include Latin sensus communis, Greek κοινὴ αἲσθησις (koinē aísthēsis), and French bon sens, but these are not straightforward translations in all contexts. Similarly in English, there are different shades of meaning, implying more or less education and wisdom: ""good sense"" is sometimes seen as equivalent to ""common sense"", and sometimes not.
""Common sense"" has at least two specifically philosophical meanings. One is a capability of the animal soul (Greek psukhē) proposed by Aristotle, which enables different individual senses to collectively perceive the characteristics of physical things such as movement and size, which all physical things have in different combinations, allowing people and other animals to distinguish and identify physical things. This common sense is distinct from basic sensory perception and from human rational thinking, but cooperates with both. The second special use of the term is Roman-influenced and is used for the natural human sensitivity for other humans and the community. Just like the everyday meaning, both of these refer to a type of basic awareness and ability to judge which most people are expected to share naturally, even if they can not explain why.
All these meanings of ""common sense"", including the everyday one, are inter-connected in a complex history and have evolved during important political and philosophical debates in modern western civilisation, notably concerning science, politics and economics. The interplay between the meanings has come to be particularly notable in English, as opposed to other western European languages, and the English term has become international.
In modern times the term ""common sense"" has frequently been used for rhetorical effect, sometimes pejorative, and sometimes appealed to positively, as an authority. It can be negatively equated to vulgar prejudice and superstition, or on the contrary it is often positively contrasted to them as a standard for good taste and as the source of the most basic axioms needed for science and logic. This began with Descartes' criticism of it, and what came to be known as the dispute between ""rationalism"" and ""empiricism"". In the opening line of one his most famous books, Discourse on Method, Descartes established the most common modern meaning, and its controversies, when he stated that everyone has a similar and sufficient amount of common sense (bon sens), but it is rarely used well. Therefore, a skeptical logical method described by Descartes needs to be followed and common sense should not be overly relied upon. In the ensuing 18th century Enlightenment, common sense came to be seen more positively as the basis for modern thinking. It was contrasted to metaphysics, which was, like Cartesianism, associated with the ancien régime. Thomas Paine's polemical pamphlet Common Sense (1776) has been described as the most influential political pamphlet of the 18th century, affecting both the American and French revolutions. Today, the concept of common sense, and how it should best be used, remains linked to many of the most perennial topics in epistemology and ethics, with special focus often directed at the philosophy of the modern social sciences."
Communications satellite	"A communications satellite is an artificial satellite that relays and amplifies radio telecommunications signals via a transponder; it creates a communication channel between a source transmitter and a receiver(s) at different locations on Earth. Communications satellites are used for television, telephone, radio, internet, and military applications. There are over 2,000 communications satellites in Earth’s orbit, used by both private and government organizations.
Wireless communication uses electromagnetic waves to carry signals. These waves require line-of-sight, and are thus obstructed by the curvature of the Earth. The purpose of communications satellites is to relay the signal around the curve of the Earth allowing communication between widely separated points. The electromagnetic signals that communication satellites work with, have a large spectrum of wavelengths and frequencies. To keep these waves from interfering with one another, international organizations have certain rules and regulations describing which wavelength a certain company or group can use. By separating out wavelengths, communication satellites will have minimal interference and be able to communicate effectively.
There are two major classes of communications satellites, passive and active. Passive satellites only reflect the signal coming from the source, toward the direction of the receiver. With passive satellites, the reflected signal is not amplified at the satellite, and only a very small amount of the transmitted energy reflects toward the receiver. Since the satellite is so far above Earth the radio signal is attenuated on its long journey due to free-space path loss, so the signal received on Earth is very weak. Active satellites, on the other hand, amplify the received signal before re-transmitting it to the receiver on the ground Passive satellites were the first communications satellites, but are little used now."
Complex systems	"Complex systems present problems both in mathematical modelling and philosophical foundations. The study of complex systems represents a new approach to science that investigates how relationships between parts give rise to the collective behaviors of a system and how the system interacts and forms relationships with its environment.
The equations from which models of complex systems are developed generally derive from statistical physics, information theory and non-linear dynamics and represent organized but unpredictable behaviors of natural systems that are considered fundamentally complex. The physical manifestations of such systems are difficult to define, so a common choice is to identify ""the system"" with the mathematical information model rather than referring to the undefined physical subject the model represents. One of a variety of journals using this approach to complexity is Complex Systems.
Such systems are used to model processes in computer science, biology, economics, physics, chemistry, and many other fields. It is also called complex systems theory, complexity science, study of complex systems,complex networks, network science, sciences of complexity, non-equilibrium physics, and historical physics. A variety of abstract theoretical complex systems is studied as a field of mathematics.
The key problems of complex systems are difficulties with their formal modelling and simulation. From such a perspective, in different research contexts complex systems are defined on the basis of their different attributes. Since all complex systems have many interconnected components, the science of networks and network theory are important and useful tools for the study of complex systems. A theory for the resilience of system of systems represented by a network of interdependent networks was developed by Buldyrev et al. A consensus regarding a single universal definition of complex system does not yet exist.
For systems that are less usefully represented with equations various other kinds of narratives and methods for identifying, exploring, designing and interacting with complex systems are used."
Computed tomography	"A CT scan, also called X-ray computed tomography (X-ray CT) or computerized axial tomography scan (CAT scan), makes use of computer-processed combinations of many X-ray images taken from different angles to produce cross-sectional (tomographic) images (virtual 'slices') of specific areas of a scanned object, allowing the user to see inside the object without cutting.
Digital geometry processing is used to generate a three-dimensional image of the inside of the object from a large series of two-dimensional radiographic images taken around a single axis of rotation. Medical imaging is the most common application of X-ray CT. Its cross-sectional images are used for diagnostic and therapeutic purposes in various medical disciplines. The rest of this article discusses medical-imaging X-ray CT; industrial applications of X-ray CT are discussed at industrial computed tomography scanning.
As X-ray CT is the most common form of CT in medicine and various other contexts, the term computed tomography alone (or CT) is often used to refer to X-ray CT, although other types exist (such as positron emission tomography [PET] and single-photon emission computed tomography [SPECT]). Older and less preferred terms that also refer to X-ray CT are computed axial tomography (CAT scan) and computer-aided/assisted tomography. X-ray CT is a form of radiography, although the word ""radiography"" used alone usually refers, by wide convention, to non-tomographic radiography.
CT produces a volume of data that can be manipulated in order to demonstrate various bodily structures based on their ability to block the X-ray beam. Although, historically, the images generated were in the axial or transverse plane, perpendicular to the long axis of the body, modern scanners allow this volume of data to be reformatted in various planes or even as volumetric (3D) representations of structures. Although most common in medicine, CT is also used in other fields, such as nondestructive materials testing. Another example is archaeological uses such as imaging the contents of sarcophagi. Individuals responsible for performing CT exams are called radiographers or radiologic technologists.
Usage of CT has increased dramatically over the last two decades in many countries. An estimated 72 million scans were performed in the United States in 2007. One study estimated that as many as 0.4% of current cancers in the United States are due to CTs performed in the past and that this may increase to as high as 1.5 to 2% with 2007 rates of CT usage; however, this estimate is disputed, as there is not a consensus about the existence of damage from low levels of radiation. Kidney problems may occasionally occur following intravenous contrast agents used in some types of studies."
Condensed matter physics	"Condensed matter physics is a branch of physics that deals with the physical properties of condensed phases of matter. Condensed matter physicists seek to understand the behavior of these phases by using physical laws. In particular, they include the laws of quantum mechanics, electromagnetism and statistical mechanics.
The most familiar condensed phases are solids and liquids while more exotic condensed phases include the superconducting phase exhibited by certain materials at low temperature, the ferromagnetic and antiferromagnetic phases of spins on atomic lattices, and the Bose–Einstein condensate found in cold atomic systems. The study of condensed matter physics involves measuring various material properties via experimental probes along with using techniques of theoretical physics to develop mathematical models that help in understanding physical behavior.
The diversity of systems and phenomena available for study makes condensed matter physics the most active field of contemporary physics: one third of all American physicists identify themselves as condensed matter physicists, and the Division of Condensed Matter Physics is the largest division at the American Physical Society. The field overlaps with chemistry, materials science, and nanotechnology, and relates closely to atomic physics and biophysics. Theoretical condensed matter physics shares important concepts and techniques with theoretical particle and nuclear physics.
A variety of topics in physics such as crystallography, metallurgy, elasticity, magnetism, etc., were treated as distinct areas until the 1940s, when they were grouped together as solid state physics. Around the 1960s, the study of physical properties of liquids was added to this list, forming the basis for the new, related specialty of condensed matter physics. According to physicist Philip Warren Anderson, the term was coined by him and Volker Heine, when they changed the name of their group at the Cavendish Laboratories, Cambridge from ""Solid state theory"" to ""Theory of Condensed Matter"" in 1967, as they felt it did not exclude their interests in the study of liquids, nuclear matter and so on. Although Anderson and Heine helped popularize the name ""condensed matter"", it had been present in Europe for some years, most prominently in the form of a journal published in English, French, and German by Springer-Verlag titled Physics of Condensed Matter, which was launched in 1963. The funding environment and Cold War politics of the 1960s and 1970s were also factors that lead some physicists to prefer the name ""condensed matter physics"", which emphasized the commonality of scientific problems encountered by physicists working on solids, liquids, plasmas, and other complex matter, over ""solid state physics"", which was often associated with the industrial applications of metals and semiconductors. The Bell Telephone Laboratories was one of the first institutes to conduct a research program in condensed matter physics.
References to ""condensed"" state can be traced to earlier sources. For example, in the introduction to his 1947 ""Kinetic Theory of Liquids"", Yakov Frenkel proposed in the book, ""The kinetic theory of liquids must accordingly be developed as a generalization and extension of the kinetic theory of solid bodies"".
As a matter of fact, it would be more correct to unify them under the title of ""condensed bodies""."
Confirmation bias	"Confirmation bias, also called confirmatory bias or myside bias, is the tendency to search for, interpret, favor, and recall information in a way that confirms one's beliefs or hypotheses, while giving disproportionately less consideration to alternative possibilities. It is a type of cognitive bias and a systematic error of inductive reasoning. People display this bias when they gather or remember information selectively, or when they interpret it in a biased way. The effect is stronger for emotionally charged issues and for deeply entrenched beliefs. People also tend to interpret ambiguous evidence as supporting their existing position. Biased search, interpretation and memory have been invoked to explain attitude polarization (when a disagreement becomes more extreme even though the different parties are exposed to the same evidence), belief perseverance (when beliefs persist after the evidence for them is shown to be false), the irrational primacy effect (a greater reliance on information encountered early in a series) and illusory correlation (when people falsely perceive an association between two events or situations).
A series of experiments in the 1960s suggested that people are biased toward confirming their existing beliefs. Later work re-interpreted these results as a tendency to test ideas in a one-sided way, focusing on one possibility and ignoring alternatives. In certain situations, this tendency can bias people's conclusions. Explanations for the observed biases include wishful thinking and the limited human capacity to process information. Another explanation is that people show confirmation bias because they are weighing up the costs of being wrong, rather than investigating in a neutral, scientific way.
Confirmation biases contribute to overconfidence in personal beliefs and can maintain or strengthen beliefs in the face of contrary evidence. Poor decisions due to these biases have been found in political and organizational contexts."
Consciousness	"Consciousness is the state or quality of awareness, or, of being aware of an external object or something within oneself. It has been defined as: sentience, awareness, subjectivity, the ability to experience or to feel, wakefulness, having a sense of selfhood, and the executive control system of the mind. Despite the difficulty in definition, many philosophers believe that there is a broadly shared underlying intuition about what consciousness is. As Max Velmans and Susan Schneider wrote in The Blackwell Companion to Consciousness: ""Anything that we are aware of at a given moment forms part of our consciousness, making conscious experience at once the most familiar and most mysterious aspect of our lives.""
Western philosophers, since the time of Descartes and Locke, have struggled to comprehend the nature of consciousness and pin down its essential properties. Issues of concern in the philosophy of consciousness include whether the concept is fundamentally coherent; whether consciousness can ever be explained mechanistically; whether non-human consciousness exists and if so how can it be recognized; how consciousness relates to language; whether consciousness can be understood in a way that does not require a dualistic distinction between mental and physical states or properties; and whether it may ever be possible for computing machines like computers or robots to be conscious, a topic studied in the field of artificial intelligence.
Thanks to recent developments in technology, consciousness has become a significant topic of research in psychology, neuropsychology and neuroscience within the past few decades. The primary focus is on understanding what it means biologically and psychologically for information to be present in consciousness—that is, on determining the neural and psychological correlates of consciousness. The majority of experimental studies assess consciousness by asking human subjects for a verbal report of their experiences (e.g., ""tell me if you notice anything when I do this""). Issues of interest include phenomena such as subliminal perception, blindsight, denial of impairment, and altered states of consciousness produced by alcohol and other drugs, or spiritual or meditative techniques.
In medicine, consciousness is assessed by observing a patient's arousal and responsiveness, and can be seen as a continuum of states ranging from full alertness and comprehension, through disorientation, delirium, loss of meaningful communication, and finally loss of movement in response to painful stimuli. Issues of practical concern include how the presence of consciousness can be assessed in severely ill, comatose, or anesthetized people, and how to treat conditions in which consciousness is impaired or disrupted."
Correlation does not imply causation	"""Correlation does not imply causation"" is a phrase used in statistics to emphasize that a correlation between two variables does not imply that one causes the other. Many statistical tests calculate correlation between variables. A few go further, using correlation as a basis for testing a hypothesis of a true causal relationship; examples are the Granger causality test and convergent cross mapping.
The counter-assumption, that ""correlation proves causation,"" is considered a questionable cause logical fallacy in that two events occurring together are taken to have a cause-and-effect relationship. This fallacy is also known as cum hoc ergo propter hoc, Latin for ""with this, therefore because of this,"" and ""false cause."" A similar fallacy, that an event that follows another was necessarily a consequence of the first event, is sometimes described as post hoc ergo propter hoc (Latin for ""after this, therefore because of this."")
For example, in a widely studied case, numerous epidemiological studies showed that women taking combined hormone replacement therapy (HRT) also had a lower-than-average incidence of coronary heart disease (CHD), leading doctors to propose that HRT was protective against CHD. But randomized controlled trials showed that HRT caused a small but statistically significant increase in risk of CHD. Re-analysis of the data from the epidemiological studies showed that women undertaking HRT were more likely to be from higher socio-economic groups (ABC1), with better-than-average diet and exercise regimens. The use of HRT and decreased incidence of coronary heart disease were coincident effects of a common cause (i.e. the benefits associated with a higher socioeconomic status), rather than a direct cause and effect, as had been supposed.
As with any logical fallacy, identifying that the reasoning behind an argument is flawed does not imply that the resulting conclusion is false. In the instance above, if the trials had found that hormone replacement therapy does in fact have a negative incidence on the likelihood of coronary heart disease the assumption of causality would have been correct, although the logic behind the assumption would still have been flawed."
Crystallography	"Crystallography is the experimental science of determining the arrangement of atoms in the crystalline solids (see crystal structure). The word ""crystallography"" derives from the Greek words crystallon ""cold drop, frozen drop"", with its meaning extending to all solids with some degree of transparency, and grapho ""I write"". In July 2012, the United Nations recognised the importance of the science of crystallography by proclaiming that 2014 would be the International Year of Crystallography. X-ray crystallography is used to determine the structure of large biomolecules such as proteins.
Before the development of X-ray diffraction crystallography (see below), the study of crystals was based on physical measurements of their geometry. This involved measuring the angles of crystal faces relative to each other and to theoretical reference axes (crystallographic axes), and establishing the symmetry of the crystal in question. This physical measurement is carried out using a goniometer. The position in 3D space of each crystal face is plotted on a stereographic net such as a Wulff net or Lambert net. The pole to each face is plotted on the net. Each point is labelled with its Miller index. The final plot allows the symmetry of the crystal to be established.
Crystallographic methods now depend on analysis of the diffraction patterns of a sample targeted by a beam of some type. X-rays are most commonly used; other beams used include electrons or neutrons. This is facilitated by the wave properties of the particles. Crystallographers often explicitly state the type of beam used, as in the terms X-ray crystallography, neutron diffraction and electron diffraction. These three types of radiation interact with the specimen in different ways.
X-rays interact with the spatial distribution of electrons in the sample.
Electrons are charged particles and therefore interact with the total charge distribution of both the atomic nuclei and the electrons of the sample.
Neutrons are scattered by the atomic nuclei through the strong nuclear forces, but in addition, the magnetic moment of neutrons is non-zero. They are therefore also scattered by magnetic fields. When neutrons are scattered from hydrogen-containing materials, they produce diffraction patterns with high noise levels. However, the material can sometimes be treated to substitute deuterium for hydrogen.
Because of these different forms of interaction, the three types of radiation are suitable for different crystallographic studies."
Cultural studies	"Cultural studies is a field of theoretically, politically, and empirically engaged cultural analysis that was initially developed by British academics in the late 1950s, 1960s and 1970s, and has been subsequently taken up and transformed by scholars from many different disciplines around the world. Cultural studies is avowedly and even radically interdisciplinary and can sometimes be seen as antidisciplinary. As cultural studies scholar Toby Miller has written, ""cultural studies is a tendency across disciplines, rather than a discipline itself."" Although most practitioners of cultural studies are professional academics, Gilbert Rodman has argued in his 2015 book, Why Cultural Studies?, that the field must be understood to include some non-academic cultural analysts and practitioners as well as academic ones. A key concern for cultural studies practitioners is the examination of the forces within and through which socially organized people conduct and participate in the construction of their everyday lives.
The field of cultural studies encompasses a range of theoretical and methodological perspectives and practices. Although distinct from the disciplines of cultural anthropology and ethnic studies, cultural studies draws upon and has contributed to each of these disciplines. Cultural studies concentrates upon the political dynamics of contemporary culture, its historical foundations, defining traits, and conflicts. CS researchers generally investigate how cultural practices relate to wider systems of power associated with or operating through social phenomena, such as ideology, class structures, national formations, ethnicity, sexual orientation, gender and generation. Cultural studies views cultures not as fixed, bounded, stable and discrete entities, but rather as constantly interacting and changing sets of practices and processes.
Cultural studies combines a variety of politically engaged critical approaches drawn from and including semiotics, Marxism, feminist theory, ethnography, critical race theory, poststructuralism, postcolonialism, social theory, political theory, history, philosophy, literary theory, media theory, film/video studies, communication studies, political economy, translation studies, museum studies and art history/criticism to study cultural phenomena in various societies and historical periods. Thus, cultural studies seeks to understand how meaning is generated, disseminated, contested, bound up with systems of power and control, and produced from the social, political and economic spheres within a particular social formation or conjuncture. Important theories of cultural hegemony and agency have both influenced and been developed by the cultural studies movement, as have many recent major communication theories and agendas, such as those which attempt to explain and analyze the cultural forces related to processes of globalization.
During the rise of neo-liberalism in Britain and the US, cultural studies both became a global force/movement, and attracted the ire of many conservative opponents both within and beyond universities for a variety of reasons. Some left-wing critics associated particularly with Marxist forms of political economy also attacked cultural studies for allegedly overstating the importance of cultural phenomena. While cultural studies continues to have its detractors, the field has become a kind of world-wide movement that is to this day associated with a raft of scholarly associations and programs, annual international conferences, publications, students and practitioners, from Taiwan to Amsterdam and from Bangalore to Santa Cruz. Somewhat distinct approaches to cultural studies have emerged in different national and regional contexts such as the United States, Canada, Australia, New Zealand, Latin America, Asia, Africa and Italy."
Curium	"Curium is a transuranic radioactive chemical element with symbol Cm and atomic number 96. This element of the actinide series was named after Marie and Pierre Curie – both were known for their research on radioactivity. Curium was first intentionally produced and identified in July 1944 by the group of Glenn T. Seaborg at the University of California, Berkeley. The discovery was kept secret and only released to the public in November 1945. Most curium is produced by bombarding uranium or plutonium with neutrons in nuclear reactors – one tonne of spent nuclear fuel contains about 20 grams of curium.
Curium is a hard, dense, silvery metal with a relatively high melting point and boiling point for an actinide. Whereas it is paramagnetic at ambient conditions, it becomes antiferromagnetic upon cooling, and other magnetic transitions are also observed for many curium compounds. In compounds, curium usually exhibits valence +3 and sometimes +4, and the +3 valence is predominant in solutions. Curium readily oxidizes, and its oxides are a dominant form of this element. It forms strongly fluorescent complexes with various organic compounds, but there is no evidence of its incorporation into bacteria and archaea. When introduced into the human body, curium accumulates in the bones, lungs and liver, where it promotes cancer.
All known isotopes of curium are radioactive and have a small critical mass for a sustained nuclear chain reaction. They predominantly emit α-particles, and the heat released in this process can potentially produce electricity in radioisotope thermoelectric generators. This application is hindered by the scarcity, high cost and radioactivity of curium isotopes. Curium is used in production of heavier actinides and of the 238Pu radionuclide for power sources in artificial pacemakers. It served as the α-source in the alpha particle X-ray spectrometers installed on several space probes, including the Sojourner, Spirit, Opportunity and Curiosity Mars rovers and the Philae lander on comet 67P/Churyumov-Gerasimenko, to analyze the composition and structure of the surface."
