title	plot
The Cat in the Hat 	"The story begins as a girl named Sally and her unnamed brother, who serves as the narrator of the book, sit alone in their house on a cold, rainy day, staring wistfully out the window. Then they hear a loud bump which is quickly followed by the arrival of the Cat in the Hat, a tall anthropomorphic cat in a red- and white-striped hat and a red bow tie. The Cat proposes to entertain the children with some tricks that he knows. The children's pet fish refuses, insisting that the Cat leave. The Cat responds by balancing the fish on the tip of his umbrella. The game quickly becomes more complicated, as the Cat balances himself on a ball and tries to balance lots of household items on his limbs until he falls on his head, dropping everything he was holding. The fish admonishes him again, but the Cat in the Hat just proposes another game.
The Cat brings in a big red box from outside, from which he releases two identical creatures with blue hair and red suits called Thing One and Thing Two. The Things cause more trouble, such as flying kites in the house, knocking pictures off the wall and picking up the children's mother's new polka-dotted gown. All this comes to an end when the fish spots the children's mother out the window. In response, Sally's brother catches the Things in a net, and the Cat, apparently ashamed, stores them back in the big red box. He takes it out the front door as the fish and the children survey the mess he has made. But the Cat soon returns, riding a machine that picks everything up and cleans the house, delighting the fish and the children. The Cat leaves just before their mother arrives, and the fish and the children are back where they started at the beginning of the story. As she steps in, the mother asks the children what they did while she was out, but the children are hesitant and do not answer. The story ends with the question, ""What would you do if your mother asked you?"""
Catch Me if You Can 	"In 1963, teen-aged Frank Abagnale (Leonardo DiCaprio) lives in New Rochelle, New York with his father Frank Abagnale, Sr. (Christopher Walken), and French mother Paula (Nathalie Baye). When Frank Sr. is denied a business loan at Chase Manhattan Bank due to unknown difficulties with the IRS, the family is forced to move from their large home to a small apartment. Paula carries on an affair with Jack (James Brolin), a friend of her husband. Meanwhile, Frank poses as a substitute teacher in his French class. Frank’s parents file for divorce, and Frank runs away. When he runs out of money, he begins relying on confidence scams to get by. Soon, Frank’s cons increase and he even impersonates an airline pilot. He forges Pan Am payroll checks and succeeds in stealing over $2.8 million.
Meanwhile, Carl Hanratty (Tom Hanks), an FBI bank fraud agent, begins tracking Frank. Carl and Frank meet at a hotel, where Frank convinces Carl his name is Barry Allen of the Secret Service. Frank leaves, Carl angrily realizing a minute too late that he has been fooled. Later, at Christmas, Carl is still at work when Frank calls him, attempting to apologize for duping Carl. Carl rejects his apology and tells him he will soon be caught, but laughs when he realizes Frank actually called him because he has no one else to talk to. Frank hangs up, and Carl continues to investigate, suddenly realizing (thanks to a waiter) that the name “Barry Allen” is from the Flash comic books and that Frank is actually a teenager.
Frank, meanwhile, has expanded his con to include the identities of a doctor and lawyer, but has fallen in love with Brenda (Amy Adams), to whom he eventually admits the truth about himself and asks her to run away with him. Carl tracks him to his engagement party where Frank has left Brenda, asking her to meet him two days later so they can elope. Frank sees her waiting for him two days later, but also notices plainclothes agents waiting to arrest him, realizing he has been set up and escapes on a flight to Europe.
Seven months later, Carl shows his boss that Frank has been forging checks all over western Europe and asks permission to go to Europe to look for him. When his boss refuses, Carl brings Frank’s checks to printing professionals who claim that the checks were printed in France. From an interview with Frank’s mother, Carl remembers that she was actually born in Montrichard, France. He goes there and locates Frank, and tells him that the French police will kill him if he does not go with Carl quietly. Frank assumes he is lying at first, but Carl promises Frank he would never lie to him, and Carl takes him outside, where the French police escort him to prison.
The scene then flashes forward to a plane returning Frank home from prison, where Carl informs him that his father has died. Grief-stricken, Frank escapes from the plane and goes back to his old house, where he finds his mother with the man she left his father for, as well as a girl who Frank realizes is his half-sister. Frank gives himself up and is sentenced to 12 years in prison, getting visits from time to time from Carl. When Frank points out how one of the checks Carl is carrying as evidence is fake, Carl convinces the FBI to offer Frank a deal by which he can live out the remainder of his sentence working for the bank fraud department of the FBI, which Frank accepts. While working at the FBI, Frank misses the thrill of the chase and even attempts to fly as an airline pilot again. He is cornered by Carl, who insists that Frank will return to the FBI job since no one is chasing him. On the following Monday, Carl is nervous that Frank has not yet arrived at work. However, Frank eventually arrives and they discuss their next case.
The ending credits reveal that Frank has been happily married for 26 years, has three sons, lives in the Midwest, is still good friends with Carl, has caught some of the world's most elusive money forgers, and earns millions of dollars each year because of his work creating unforgeable checks."
Cats & Dogs 	"Mrs. Carolyn Brody (Elizabeth Perkins) and her son Scott (Alexander Pollock) return home and the family's Bloodhound Buddy starts chasing a cat, a chase which ends with Buddy's capture by other cats in an ambush.
This is witnessed by Anatolian Shepherd dog named Butch (voiced by Alec Baldwin) who reports Buddy's capture to his superiors. The head dog then orders the best canine agents to complete the mission by preventing all (cats) from achieving their favorite goal: to make all humans allergic to dogs.
Meanwhile, at a farm, a handful of Beagle puppies make fun of a younger puppy (voiced by Tobey Maguire), who wants to be free. The younger puppy tries an escape, but he fails. A group of young black Doberman puppies, all of them trained dog agents, led by a large Doberman Pinscher appear, round up the Beagle puppies and force them into hiding underground. Mrs. Brody comes into the puppy pen and she selects the younger puppy who was forgotten by the Dobermanns. She decides to adopt him and takes him home, naming him Lou after Scott sarcastically suggests the name ""Loser"".
Lou goes near an explosive trap set by the cats but Butch comes out and detonates it harmlessly. Butch then shows Lou the network that dog agents use, then takes him to meet some more agents: Peek (voiced by Joe Pantoliano) is a Chinese Crested Dog who works in an underground tube and has surveillance and communications equipment and Sam (voiced by Michael Clarke Duncan) who is an Old English Sheepdog. Having mistaken Lou for a trained dog agent, Butch raises his concerns to his superiors, but is told that there is no time to send a replacement. Lou is then briefed on the origins of the war between cats and dogs, which apparently dates all the way back to Ancient Egypt. Butch also mentions that fate of Buddy, who meanwhile had managed to escape from the cats and was now retired from the spy business, living life in a condominium.
Meanwhile, Mr. Tinkles (voiced by Sean Hayes), a white Persian cat, plans to conquer the world by making all humans allergic to dogs with Mr. Brody (Jeff Goldblum)'s research on a cure for dog allergies. He is briefly interrupted by Sophie the Maid (Miriam Margoyles) who needs to dress him upon seeing the comatose Mr. Mason (Myron Natwick). Tinkles then tells his sidekick Calico (voiced by Jon Lovitz), an Exotic Shorthair, to send in the ninja cats (voiced by Danny Mann and Billy West) he hired to steal the research. He sends in the Devon Rex ninjas but Lou manages to prevent the theft. Lou then meets a former agent and Butch's ex-sweetheart and girlfriend named Ivy (voiced by Susan Sarandon), a Saluki who belly scratches him. Disappointed that the ninja cats failed him, Mr. Tinkles then orders Calico to send a Russian Blue mercenary, whose name is Diemitir Kennelkoff, (voiced by Glenn Ficarra) to steal the research. Kennelkoff frames Lou for defecating in the house with a ball containing fake dog feces, causing Lou to be confined outside, then places a bomb on the lab door. Butch and Lou manage to get into the house through the window, but Peek and Sam are trapped outside after Lou knocks the window prop away. Kennelkoff fires a series of boomerangs around the Brodys' house causing serious damage and which break several vases and knock a lamp over; the boomerangs also cause the curtain pole to break. Lou then distracts the Russian while Butch tries to disable the bomb, but Kennelkoff turns his attention on Butch and tries to kill him. Butch gets caught in a telephone wire, then Mrs Brody comes home looking for her cell phone and surprisingly does not notice her wrecked living room. Although he suspects that dogs can see in black and white, Butch manages to escape and disables the bomb, but Kennelkoff holds out a remote that will detonate the bomb and laughs until the lab door opens and hits him. Kennelkoff is then captured and interrogated. The agent tells the gang that they pumped a few things out of Kennelkoff's stomach, including a note written by Mr. Tinkles.
After an incident involving Lou playing with Scott, Professor Brody's machine finally gets the positive combinations for the formula. As Mr. Tinkles and Calico overhear the call between Professor Brody and a doctor, they decide to spring a trap for Dr. Brody and his family. First, Mr. Tinkles makes his sinister and talking side known to Sophie, causing her to faint, then he and his cats take Mr Mason's comatose body to Mason's Christmas tree flocking plant, where Tinkles passes his voice off as Mr Mason to send the employees home and commandeer the factory for the next plot. The cats send soccer tickets to an exhibition game between Uruguay and Chad to the Brody family, obviously a ruse. The cats make a fake entry and when the Brody family pulls up, the cats throw a gas bomb into their car, which goes off in a tremendous explosion and leaves the family unconscious.
While trying to decipher Mr. Tinkles's location, the dogs are obviously unaware that the Brodys have been led into a trap and are kidnapped by the said cat. After receiving a video from the cat demanding Mr. Brody's research as a ransom, the dogs from around the world assemble at a meeting (like the United Nations General Assembly) run by the Mastiff (voiced by Charlton Heston). When the dog agents are unable to give up the formula after the meeting of the world's dogs, Lou angrily confronts Butch for not helping him. Butch then explains that when his owner went to college, he left him with his grandmother and storms off, cutting off all of Lou's communications with Peek and the others so Lou would not seek help to save his family. Lou gives in and brings Mr. Tinkles the research and is betrayed. Butch manages to find the depressed Lou and, along with Ivy, the two stage an ambush of Mr. Tinkles's factory where the latter plans to use mice to spread the now mass-produced allergy to dogs. While Butch, Ivy, Peek, and Sam fight Tinkles's cat forces, Lou frees the Brodys and Calico (who was betrayed by Tinkles), revealing he can speak in the process. Lou defeats Tinkles and rescues Butch, but the claw of the excavator hits his head and a flocking tank, causing an explosion that destroys the factory. Butch manages to save Lou, but the latter is unresponsive. After a few hurtful moments of sadness and sorrow; in which Scott, feeling genuinely sorry and remorseful for referring to Lou as loser, tearfully apologizes to Lou; Lou suddenly awakens and all rejoice. Lou decides to be a normal canine and not a secret agent yet, but one day he will be when he is a full-grown beagle.
Meanwhile, Mr. Tinkles is sent to live with Sophie and her three sisters, who dress him in hilariously ridiculous girly outfits."
Chapter 27 	"On December 8, 1980, Mark David Chapman shocked the world by murdering 40-year-old musician and activist, John Lennon, outside The Dakota, his New York apartment building. Chapman's motives were fabricated from pure delusion, fueled by an obsession with the fictional character Holden Caulfield and his similar misadventures in J.D. Salinger's The Catcher in the Rye. In one instant, an anonymous, socially awkward and mentally unstable 25-year-old fan of The Beatles, who had fluctuated between idealizing Lennon and being overcome with a desire to kill him, altered the course of the history of music.
A man whose painfully restless mind thrashes about uncontrollably between paranoia, sociopathic lying and delusion is summed up in such character revealing comments as ""I'm too vulnerable for a world full of pain and lies"" and ""Everyone is cracked and broken. You have to find something to fix you. To give you what you need. To make you whole again.""
From his lies to cab drivers (identifying himself as The Beatles' sound engineer) to his socially unacceptable behavior around Jude, a young fan he meets outside The Dakota, to his argument with paparazzi photographer Paul, Chapman keeps the psychoses bubbling below the surface as his grasp on reality deteriorates into a completely misguided rage."
Charlie and the Chocolate Factory 	"Mr. Willy Wonka, the owner of the Wonka chocolate factory, has decided to open the doors of his factory to five children and their parents. In order to choose who will enter the factory, Mr. Wonka hides five golden tickets in the wrappers of his Wonka chocolate bars. The search for the five golden tickets is fast and furious. The first four golden tickets are found by the gluttonous Augustus Gloop, the spoiled and petulant Veruca Salt, the gum-addicted Violet Beauregarde, and TV-obsessed Mike Teavee.
A boy named Charlie Bucket lives in poverty in a tiny house with his parents and four grandparents. His grandparents share the only bed in the house, located in the only bedroom. Charlie and his parents sleep on mattresses on the floor. Once a year, on his birthday, Charlie gets one bar of Wonka chocolate, which he keeps for many months. One day, Charlie sees a fifty-pence coin (dollar bill in the US version) buried in the snow. He decides to use a little of the money to buy himself some chocolate before turning the rest over to his mother. After unwrapping the first bar of chocolate, Charlie decides to buy one more and finds the fifth golden ticket. The next day is the date that Mr. Wonka has set for his guests to enter the factory.
In the factory, Charlie and Grandpa Joe enjoy the sights, sounds, and smells of the factory, and also encounter the Oompa Loompas who have been helping Wonka operate the factory since he found them living in their own poverty and fear in Loompa-land. The other kids are ejected from the factory in comical, mysterious and painful fashions. Augustus Gloop falls into the hot chocolate river when he wants to drink it, and he is sucked up by one of the pipes. Violet Beauregarde impetuously grabs an experimental piece of gum and chews herself into a giant blueberry. Veruca Salt is determined to be a ""bad nut"" by nut-judging squirrels who throw her out with the trash. Lastly, the television lover, Mike Teavee, shrinks himself into a tiny size.
With only Charlie remaining, Willy Wonka congratulates him for ""winning"" the factory and, after explaining his true age and the reason behind his Golden Tickets, names Charlie his successor. They ride the great glass elevator to Charlie's house and bring the rest of Charlie's family to the factory."
Charlie Bartlett 	"The son of a depressed but doting mother (Hope Davis) and a father who is serving time for tax evasion, wealthy teenager Charlie Bartlett (Anton Yelchin), - after being expelled from several private academies for various infractions - enrolls in a public school run by embittered alcoholic Principal Nathan Gardner (Robert Downey, Jr.), who was formerly a history teacher. Unable to fit in with most of his fellow students, Charlie forms an alliance with school bully Murphy Bivens (Tyler Hilton) and offers him half the proceeds from the sale of a variety of prescription drugs Charlie obtains by feigning physical and emotional symptoms during sessions with different psychiatrists.
Before long, his natural charm and likability positions him as the school's resident therapist, who offers advice within the confines of the boys bathroom. Charlie's social life noticeably improves as he gains the confidence and admiration of the student body and begins to date the principal's rebellious daughter, Susan (Kat Dennings).
Complications arise when seriously depressed Kip Crombwell (Mark Rendall) attempts suicide by swallowing a handful of anti-depressants provided by Charlie. Charlie befriends Kip after having an in-depth conversation with Principal Gardner. Charlie discovers Kip is writing a play about adolescent issues and pitches it to Gardner who is, at first, unsure but agrees when Kip says that it would make him less inclined to attempt suicide again. The students then have trouble with the student lounge; security cameras get installed, and they start a riot.
One day, Charlie comes by Susan's house to pick her up for a date and he gives her a pharmacy bag. Mr. Gardner comes out, thinking the bag is full of ""inappropriate items"", and pushes Charlie, who then punches Gardner as a reflex. He tries to apologize, but the principal is not forgiving. Susan and Charlie drive off, and the bag turns out to contain nicotine gum, to help Susan quit smoking cigarettes.
That night, the students are all in the student lounge when the cops arrive. They arrest Charlie for assault, Principal Gardner is fired, and the kids trash the lounge building. Charlie is released, and before the play, stops by Mr. Gardner's house to invite him. Charlie finds Mr. Gardner heavily intoxicated and waving a revolver. They get into a heated argument which culminates in Charlie falling into the pool after attempting to tackle Mr. Gardner, thinking he is about to commit suicide. Mr. Gardner, appearing sober, comes to his senses and dives into the pool to save Charlie and states that he was not attempting to commit suicide because he has too many responsibilities to do such a thing. They talk over their problems about Charlie's father and Susan, and then go to the play. Mr. Gardner takes up his old job as a history teacher again (and is now much happier), and Charlie finally gains the confidence to visit his father in prison (something he had felt uncomfortable about earlier in the film). The film ends with Charlie applying for a summer internship at a psychiatric institute."
Charlie's Angels: Full Throttle 	"After rescuing U.S. Marshal Ray Carter (Robert Patrick) in Mongolia, the Angels: Natalie Cook (Cameron Diaz), Dylan Sanders (Drew Barrymore), and Alex Munday (Lucy Liu), together with their benefactor, Jimmy Bosley (Bernie Mac), are sent to recover H.A.L.O. (Hidden Alias List Operation) titanium rings stolen from the United States Department of Justice which can display the people listed in the witness protection program. DOJ official William Rose Bailey (Bruce Willis) and a protected witness, Alan Caulfield (Eric Bogosian) are among those killed. At Caulfield's house in San Bernardino, the Angels track his assassin, Randy Emmers (Rodrigo Santoro) to a beach, where they meet with former Angel Madison Lee (Demi Moore). During the Coal Bowl motorcycle race, Emmers targets another witness, Max Petroni (Shia LaBeouf), but is killed by the Thin Man (Crispin Glover). Inside Emmers' pocket, the Angels discover the photos of Caulfield, Max, and, surprisingly, Dylan, under her birth name, Helen Zaas.
Dylan reveals that she is a protected witness after sending her former boyfriend, Irish mob leader Seamus O'Grady (Justin Theroux), to prison. O'Grady has since targeted those who wronged him, including Dylan and Max, whose parents O'Grady killed. Max is sent to the home of Bosley's mother (Ja'net Dubois) for his protection. At a monastery, the Angels learn about the Thin Man's past from the Mother Superior (Carrie Fisher). Afterward, the Angels track O'Grady's mob at San Pedro and manage to get the rings, but O'Grady threatens Dylan with the murder of everyone she loves. While Natalie attends her boyfriend, Peter Kominsky (Luke Wilson)'s high school reunion at Hermosa Beach and Alex returns home to find her action star boyfriend-under-timeout, Jason Gibbons (Matt LeBlanc) telling her awestruck father (John Cleese) about her exploits, Dylan leaves the Angels and heads to Mexico. She is, however, convinced to return after seeing an apparition of former Angel Kelly Garrett (Jaclyn Smith).
Natalie and Alex deduce that Carter is a part of O'Grady's scheme after seeing him return Bosley's keys. Following him, the two witness him being shot by Madison, the true schemer behind all of this. Though Dylan arrives to back the group, the Angels are shot by Madison, who take the rings, though they survive by having worn Kevlar vests beforehand. The Angels realize that Madison, with the protection of O'Grady, is going to sell the rings to three mobs at the Hollywood Walk of Fame, where Jason's film's premiere is about to commence. The Angels set the mobs to be arrested by the FBI instead, while they confront Madison and O'Grady. O'Grady kills the Thin Man, but Dylan manages to throw him down to his death. The Angels fight Madison all the way to an abandoned theater, where they kick her to a gas-filling chamber, with her dooming herself by shooting her bullets, exploding it.
The Angels attend the premiere where they learn that Mama Bosley is adopting Max. Peter postpones his engagement with Natalie by buying for them a puppy, Spike, while Alex terminates her timeout with Jason. The Angels celebrate their victory together with Bosley."
Charlotte's Web 2: Wilbur's Great Adventure 	"The film opens in springtime, about a year after Charlotte has died. Charlotte's three daughters, Nellie, Aranea, and Joy, are now in the stages of adolescence, with Wilbur serving as a companion and mentor.
During this time, Wilbur befriends Cardigan, a newborn lamb that is looked down upon by the other lambs and the younger sheep of his flock because he has black wool. Wilbur takes Cardigan under his wing and shows him the farm, the ways of animal life, and dangers to look out for. However, after only a few weeks, Zuckerman suddenly sells Cardigan to another farmer, so Wilbur, along with Charlotte's daughters and Templeton the Rat, set out to visit Cardigan and make sure he is safe.
On the journey to visit Cardigan, however, Wilbur is hungry so he gets some grapes which make him look purple. Some bark from the trees comes and lands on his head. This makes him look like a wild pig. A near hit by a car then reveals that two other guys have now seen the wild pig. This makes it hard for Wilbur to visit Cardigan.
Meanwhile, an evil fox named Farley comes and steals a hen from the barn, and Wilbur is blamed. Farley comes and steals Cardigan from the barn, and plans to eat him. Wilbur now must save his friend, and does so by trapping him in a ""pig web"". Charlotte's daughters spin the word ""fox"" in a spider web, and Fern arrives just in time to save Wilbur. The fox, while not shown, is probably disposed of. Aranea and Joy decide to stay with Cardigan, and the film ends as Wilbur has to baby sit Templeton's children. He had promised to do this earlier when Templeton had to get Wilbur out of some brambles bushes, which also helped make him look like a wild pig."
Cheaper By The Dozen 	"The book tells the story of time and motion study and efficiency experts Frank Bunker Gilbreth and Lillian Moller Gilbreth, and their twelve children, as they reside in Montclair, New Jersey for many years. The title comes from one of Frank Sr.'s favorite jokes: it often happened that when he and his family were out driving and stopped at a red light, a pedestrian would ask, ""Hey, Mister! How come you got so many kids?"" Gilbreth would pretend to ponder the question carefully, and then, just as the light turned green, would say, ""Well, they come cheaper by the dozen, you know,"" and drive off.
In real life, the Gilbreths' second eldest child, Mary, died of diphtheria at age five. The book does not explicitly explain the absence of Mary Gilbreth. It was not until the sequel, Belles on Their Toes, was published in 1950 that her death is mentioned in a footnote."
Cheaper by the Dozen 2 	"Two years after the events in the previous film, the Baker family begins to undergo many changes, beginning with Lorraine (Hilary Duff) and her desire to study in New York. Their oldest daughter, Nora (Piper Perabo), is now married to Bud McNulty (Jonathan Bennett) and heavily pregnant with his child. They intend to move to Houston because of Bud's new job promotion.
Feeling the family is breaking apart as the children grow up and move away, Tom (Steve Martin) persuades the entire family to take one last family vacation together at Lake Winnetka. Tom's old rival, Jimmy Murtaugh (Eugene Levy), his trophy wife, Sarina (Carmen Electra), and his eight kids are also there for the summer. Jimmy constantly flaunts his wealth and success to Tom, as well as the accomplishments of his children, often suggesting to Tom that the Baker children are less successful because of Tom's parenting style. The Baker kids get into many incidents, several of which are accidental: at a fancy party, Mark (Forrest Landis) sets off a backpack of fireworks that is thrown into a boat, igniting its engine and causing it to explode; Sarah (Alyson Stoner) is caught stealing merchandise from a gift shop, and Mark, along with Kenny Murtaugh, crashes into a tennis court with a golf cart.
Jimmy again mentions that Tom needs to use a firmer hand on his kids. Tom is angered by this, and they decide to settle the matter at the Annual Labor Day Family Cup. Tom trains the kids for days, not realizing they are miserable. Sarah and Elliot Murtaugh (Taylor Lautner) go on a movie date to watch Ice Age, but are spied on by their fathers. The two men argue and end up humiliating their children. Upon returning home, Sarah is furious and refuses to compete for her father in the ""stupid cup"". Everyone, including Kate, is angry with Tom, not only for spying on Sarah, but also for ruining the entire trip through his competitiveness.
The next morning, Tom goes to the Cup to compete, taking Nigel and Kyle, the only two still willing to go. However, after discovering an old ""Team Baker"" flag, Kate and the rest of the family show up, showing they have forgiven Tom and are willing to compete. Unfortunately, after all the events, the Murtaughs and the Bakers are tied for first; a tiebreaking canoe race is announced, in which every family member must compete. During the race, Nora's water breaks; the Murtaughs want to help, but Jimmy, sensing the opportunity to defeat Tom once and for all, initially refuses to help. Eventually, the Murtaughs convince Jimmy that they should help the Bakers, and the Bakers and the Murtaughs work together to get Nora to the hospital as she goes into labor. Bud, Lorraine and Kate go with Nora in the delivery room, while Tom, Jimmy, Sarina and the rest of the kids stay in the waiting room. While talking to Jimmy, Tom realizes that he has to let his kids grow, but wherever they go, they will always be with him, and he will always be with them. Nora then gives birth to a baby boy. She and Bud name him Tom in honor of her father, who has shown them ""there is no way to be a perfect parent, but a million ways to be a really good one."" Bud also announces that they have bought ""The Big House"", the vacation home that the Bakers have been renting. Nora, Bud and baby Tom leave for Houston three days later."
Cheerleader Queens 	"Four kathoey—Mod, Som, Kam-pang and Wa-wa—move from a rural town to attend St. Mary's High School in Bangkok. Once there they try to join the school's cheerleading team, only to be rejected because of their sexuality. Instead they join the school's struggling rugby team, making friends with the other team members after they score a number of tries in an important game.
Toey, another kathoey from the boys hometown, comes to Bangkok with the idea of forming a new cheerleading team, which they name ""The Queen"". From the start the boys have to face a number of problems, but with the help of their friends on the rugby team they manage to get to the finals of the national cheerleading competition."
The Cheetah Girls 2 	"The movie begins in Manhattan, three years after the first movie, where the Cheetah Girls have just completed their junior year and are performing at a Graduation Party for the Manhattan Magnet's Class of 2006 (""The Party's Just Begun"").
Later while having a sleep-over/Chinese food night at Galleria's (Raven-Symoné), Chanel (Adrienne Bailon) tells the girls that her mother, Juanita (Lori Anne Alter), is planning a trip to Barcelona, Spain, where they will be visiting Luc (Abel Folk), Juanita's boyfriend. Chanel is bummed and does not want to see Luc while the other girls are upset about being separated for the summer when Aquanette (Kiely Williams) sees a shooting star and the girls make a wish together - to go to Spain with Chanel. At that very moment, one of the girl's magazines flips pages until it comes across an ad for a Barcelona music festival. Galleria enters the Cheetah Girls and the next day, her mother Dorethea (Lynn Whitfield), Juanita, and the Cheetah Girls all travel to Spain.
When the girls arrive in Barcelona, they do some shopping before resting in a Cafe. Soon they hear a guitar playing and meet Angel (Peter Vives), a mysterious guitar player who accompanies them around Barcelona as they sing to the entire city, and he becomes Galleria's love interest (""Strut"").
The next day the girls audition for the festival and earn a spot (""Cheetah Sisters (Barcelona Mix)"").
The next day at breakfast, they meet Joaquin (Golan Yosef), a count, Luc's godson, and a handsome dancer who becomes a love interest for Dorinda (Sabrina Bryan). The next day after Dorinda finds out Joaquin is a dancer, she goes to his studio, where he teaches her tango (""Dance With Me"").
That night Joaquin takes the Cheetahs to the Dancing Cat, a local Spanish night club where all the new artists perform their songs (""Why Wait"")(""A La Nanita Nana"").
There they meet and befriended Marisol (Belinda), a Spanish pop star, beloved by all of Barcelona, and who will also compete in the Music Festival, and her manager/mother, Lola (Kim Manning), who appears nice and wins the Cheetah Girls' affection, but secretly plans a scheme to break up the Cheetah Girls, as they pose a threat to her daughter's chances in the competition, and she starts making Marisol take Chanel away from The Cheetah Girls. Meanwhile, Aqua and Dorothea have been designing clothes with Dorothea's old friends, Juanita is trying to get a proposal out of Luc, Dorinda is teaching hip hop to Joaquin's class, and Galleria is the only one focused on the competition, as she is writing a song called, ""Amigas Cheetahs"", which they will sing at the competition (""Do Your Own Thing"").
Galleria notices that everyone is getting involved in other activities except for her (""It's Over""), and eventually decided to take a train to Paris, where she can meet up with her father, Francobollo, and he will take her back home to Manhattan. While at a train station, the other three girls find Galleria and sing the starting sequence of ""Amigas Cheetahs"", and Galleria says she will only come back if they stay focused. While Chanel walked around the house, she overhears Juanita talking to Dorothea about how she believes that Luc doesn't want to marry her because Chanel doesn't like him. Luc later proposes to Juanita, after Chanel gives him permission, and she gladly accepts. Luc tells Chanel that she can stay in New York with her friends for her upcoming senior year. However, the Cheetah Girls' dreams are in serious trouble. Lola asks the Cheetah Girls to perform at The Dancing Cat. She then convinces the Dancing Cat's manager to pay the Cheetah Girls money. The competition will only allow amateur performs to compete. Accepting payment from the Dancing Cat makes the Cheetah Girls professional performers. However they gave the money back and Angel, who was present during the entire exchange, investigates.
Lola suggests that since the Cheetah Girls cannot perform as a group, Chanel should perform with Marisol instead since they can both sing in Spanish. Right before Chanel is going to get changed to perform with Marisol, the Festival Director informs that the Cheetah Girls are able to perform after getting a tip. Everyone is surprised when they see that the informer was his nephew, Angel. He informed that Lola tried to sabotage the Cheetahs, and his uncle reinstates the girls as the Cheetah Girls. Lola tries to dispute, but the Director will not hear it. Marisol finally tells off her mother, saying she is quitting the competition because she loves to sing and not to be famous, and her mother is just desperate to make her a star. The Cheetah Girls then perform ""Amigas Cheetahs"", and as a surprise, bring Marisol onto the stage (where Lola sees how happy her daughter finally is), along with Joaquin's dancing crew, Angel on the guitar and the Director on the trumpet. Their song is a hit with the crowd. An alternate ending concludes after this, where Juanita and Luc are having their wedding, and with everybody enjoying themselves (""Cherish the Moment""). (This scene is not shown in both TV or sing along versions.)"
The Cheetah Girls One World 	"With Galleria at the University of Cambridge in England, Chanel (Adrienne Bailon), Dorinda (Sabrina Bryan), and Aqua (Kiely Williams) are cast in the lavish new Bollywood movie ""Namaste Bombay"". The Cheetah Girls travel across the globe to India. There, they meet Rahim (Rupak Ginn), the man cast as the lead, whom they realize is attractive, yet somewhat clumsy. After meeting the movie's choreographer, Gita (Deepti Daryanani), a dance battle erupts between themselves and Gita with her backup dancers. They subsequently discover that the musical's director, Vikram ""Vik"" (Michael Steger), must choose only one Cheetah for the role as the budget is only enough for one star.
When it becomes apparent that they must travel home, they are upset, until realizing they may each try out for the lead. Though they all make a promise to be fair in the competition, situations arise in which each member becomes jealous of the others' specific talents. Chanel befriends Vik, Dorinda befriends Rahim, and Aqua befriends a boy she has been in contact with since before leaving America, Amar (Kunal Sharma). Each girl is led to believe the producer of the film, Khamal (Roshan Seth), Vik's uncle, will choose her after the audition. Chanel is told because she is the better singer, she will receive the role, while Dorinda is promised the role as she is the best dancer, while Aqua is convinced the coveted role will be hers as she is the best actress. The three Cheetahs audition against one another with Chanel being awarded the role, which she later refuses realizing, as do the other Cheetahs, that friendship and unity are more important than furthering their individual or group careers.
After refusing the role, they set to convince Khamal to award Gita as the lead, to which he reluctantly agrees, ending in a scene from ""Namaste Bombay"" in which the Cheetahs sing and dance the titular song, ""One World""."
